_id,Name,Code,Province,Type
,Phường Ba Đình,00004,Thành phố Hà Nội,Phường
,Phường Ngọc Hà,00008,Thành phố Hà Nội,Phường
,Phường Giảng Võ,00025,Thành phố Hà Nội,Phường
,Phường Hoàn Kiếm,00070,Thành phố Hà Nội,Phường
,Phường Cửa Nam,00082,Thành phố Hà Nội,Phường
,Phường Phú Thượng,00091,Thành phố Hà Nội,Phường
,Phường Hồng Hà,00097,Thành phố Hà Nội,Phường
,Phường Tây Hồ,00103,Thành phố Hà Nội,Phường
,Phường Bồ Đề,00118,Thành phố Hà Nội,Phường
,Phường Việt Hưng,00127,Thành phố Hà Nội,Phường
,Phường Phúc Lợi,00136,Thành phố Hà Nội,Phường
,Phường Long Biên,00145,Thành phố Hà Nội,Phường
,Phường Nghĩa Đô,00160,Thành phố Hà Nội,Phường
,Phường Cầu Giấy,00166,Thành phố Hà Nội,Phường
,Phường Yên Hòa,00175,Thành phố Hà Nội,Phường
,Phường Ô Chợ Dừa,00190,Thành phố Hà Nội,Phường
,Phường Láng,00199,Thành phố Hà Nội,Phường
,Phường Văn Miếu - Quốc Tử Giám,00226,Thành phố Hà Nội,Phường
,Phường Kim Liên,00229,Thành phố Hà Nội,Phường
,Phường Đống Đa,00235,Thành phố Hà Nội,Phường
,Phường Hai Bà Trưng,00256,Thành phố Hà Nội,Phường
,Phường Vĩnh Tuy,00283,Thành phố Hà Nội,Phường
,Phường Bạch Mai,00292,Thành phố Hà Nội,Phường
,Phường Vĩnh Hưng,00301,Thành phố Hà Nội,Phường
,Phường Định Công,00316,Thành phố Hà Nội,Phường
,Phường Tương Mai,00322,Thành phố Hà Nội,Phường
,Phường Lĩnh Nam,00328,Thành phố Hà Nội,Phường
,Phường Hoàng Mai,00331,Thành phố Hà Nội,Phường
,Phường Hoàng Liệt,00337,Thành phố Hà Nội,Phường
,Phường Yên Sở,00340,Thành phố Hà Nội,Phường
,Phường Phương Liệt,00352,Thành phố Hà Nội,Phường
,Phường Khương Đình,00364,Thành phố Hà Nội,Phường
,Phường Thanh Xuân,00367,Thành phố Hà Nội,Phường
,Phường Từ Liêm,00592,Thành phố Hà Nội,Phường
,Phường Thượng Cát,00598,Thành phố Hà Nội,Phường
,Phường Đông Ngạc,00602,Thành phố Hà Nội,Phường
,Phường Xuân Đỉnh,00611,Thành phố Hà Nội,Phường
,Phường Tây Tựu,00613,Thành phố Hà Nội,Phường
,Phường Phú Diễn,00619,Thành phố Hà Nội,Phường
,Phường Xuân Phương,00622,Thành phố Hà Nội,Phường
,Phường Tây Mỗ,00634,Thành phố Hà Nội,Phường
,Phường Đại Mỗ,00637,Thành phố Hà Nội,Phường
,Phường Thanh Liệt,00643,Thành phố Hà Nội,Phường
,Phường Kiến Hưng,09552,Thành phố Hà Nội,Phường
,Phường Hà Đông,09556,Thành phố Hà Nội,Phường
,Phường Yên Nghĩa,09562,Thành phố Hà Nội,Phường
,Phường Phú Lương,09568,Thành phố Hà Nội,Phường
,Phường Sơn Tây,09574,Thành phố Hà Nội,Phường
,Phường Tùng Thiện,09604,Thành phố Hà Nội,Phường
,Phường Dương Nội,09886,Thành phố Hà Nội,Phường
,Phường Chương Mỹ,10015,Thành phố Hà Nội,Phường
,Xã Sóc Sơn,00376,Thành phố Hà Nội,Xã
,Xã Kim Anh,00382,Thành phố Hà Nội,Xã
,Xã Trung Giã,00385,Thành phố Hà Nội,Xã
,Xã Đa Phúc,00430,Thành phố Hà Nội,Xã
,Xã Nội Bài,00433,Thành phố Hà Nội,Xã
,Xã Đông Anh,00454,Thành phố Hà Nội,Xã
,Xã Phúc Thịnh,00466,Thành phố Hà Nội,Xã
,Xã Thư Lâm,00475,Thành phố Hà Nội,Xã
,Xã Thiên Lộc,00493,Thành phố Hà Nội,Xã
,Xã Vĩnh Thanh,00508,Thành phố Hà Nội,Xã
,Xã Phù Đổng,00541,Thành phố Hà Nội,Xã
,Xã Thuận An,00562,Thành phố Hà Nội,Xã
,Xã Gia Lâm,00565,Thành phố Hà Nội,Xã
,Xã Bát Tràng,00577,Thành phố Hà Nội,Xã
,Xã Thanh Trì,00640,Thành phố Hà Nội,Xã
,Xã Đại Thanh,00664,Thành phố Hà Nội,Xã
,Xã Ngọc Hồi,00679,Thành phố Hà Nội,Xã
,Xã Nam Phù,00685,Thành phố Hà Nội,Xã
,Xã Yên Xuân,04930,Thành phố Hà Nội,Xã
,Xã Quang Minh,08974,Thành phố Hà Nội,Xã
,Xã Yên Lãng,08980,Thành phố Hà Nội,Xã
,Xã Tiến Thắng,08995,Thành phố Hà Nội,Xã
,Xã Mê Linh,09022,Thành phố Hà Nội,Xã
,Xã Đoài Phương,09616,Thành phố Hà Nội,Xã
,Xã Quảng Oai,09619,Thành phố Hà Nội,Xã
,Xã Cổ Đô,09634,Thành phố Hà Nội,Xã
,Xã Minh Châu,09661,Thành phố Hà Nội,Xã
,Xã Vật Lại,09664,Thành phố Hà Nội,Xã
,Xã Bất Bạt,09676,Thành phố Hà Nội,Xã
,Xã Suối Hai,09694,Thành phố Hà Nội,Xã
,Xã Ba Vì,09700,Thành phố Hà Nội,Xã
,Xã Yên Bài,09706,Thành phố Hà Nội,Xã
,Xã Phúc Thọ,09715,Thành phố Hà Nội,Xã
,Xã Phúc Lộc,09739,Thành phố Hà Nội,Xã
,Xã Hát Môn,09772,Thành phố Hà Nội,Xã
,Xã Đan Phượng,09784,Thành phố Hà Nội,Xã
,Xã Liên Minh,09787,Thành phố Hà Nội,Xã
,Xã Ô Diên,09817,Thành phố Hà Nội,Xã
,Xã Hoài Đức,09832,Thành phố Hà Nội,Xã
,Xã Dương Hòa,09856,Thành phố Hà Nội,Xã
,Xã Sơn Đồng,09871,Thành phố Hà Nội,Xã
,Xã An Khánh,09877,Thành phố Hà Nội,Xã
,Xã Quốc Oai,09895,Thành phố Hà Nội,Xã
,Xã Kiều Phú,09910,Thành phố Hà Nội,Xã
,Xã Hưng Đạo,09931,Thành phố Hà Nội,Xã
,Xã Phú Cát,09952,Thành phố Hà Nội,Xã
,Xã Thạch Thất,09955,Thành phố Hà Nội,Xã
,Xã Hạ Bằng,09982,Thành phố Hà Nội,Xã
,Xã Hòa Lạc,09988,Thành phố Hà Nội,Xã
,Xã Tây Phương,10003,Thành phố Hà Nội,Xã
,Xã Phú Nghĩa,10030,Thành phố Hà Nội,Xã
,Xã Xuân Mai,10045,Thành phố Hà Nội,Xã
,Xã Quảng Bị,10072,Thành phố Hà Nội,Xã
,Xã Trần Phú,10081,Thành phố Hà Nội,Xã
,Xã Hòa Phú,10096,Thành phố Hà Nội,Xã
,Xã Thanh Oai,10114,Thành phố Hà Nội,Xã
,Xã Bình Minh,10126,Thành phố Hà Nội,Xã
,Xã Tam Hưng,10144,Thành phố Hà Nội,Xã
,Xã Dân Hòa,10180,Thành phố Hà Nội,Xã
,Xã Thường Tín,10183,Thành phố Hà Nội,Xã
,Xã Hồng Vân,10210,Thành phố Hà Nội,Xã
,Xã Thượng Phúc,10231,Thành phố Hà Nội,Xã
,Xã Chương Dương,10237,Thành phố Hà Nội,Xã
,Xã Phú Xuyên,10273,Thành phố Hà Nội,Xã
,Xã Phượng Dực,10279,Thành phố Hà Nội,Xã
,Xã Chuyên Mỹ,10330,Thành phố Hà Nội,Xã
,Xã Đại Xuyên,10342,Thành phố Hà Nội,Xã
,Xã Vân Đình,10354,Thành phố Hà Nội,Xã
,Xã Ứng Thiên,10369,Thành phố Hà Nội,Xã
